n_hidden,alpha,patience,epocas_maximas,epocas_executadas,early_stopping,tempo_execucao_segundos,erro_validacao,erro_treinamento_final,acuracia_teste
20,0.1,100,100,100,False,108.12827540000035,inf,1.2130341793911386,36.18090452261307
20,0.1,100,200,200,False,215.99603360000037,inf,1.603562549678173,20.100502512562816
20,0.1,100,300,300,False,323.07804380000016,inf,1.1462441158221568,40.7035175879397
20,0.1,100,400,400,False,434.4668770999997,inf,0.9230980346193314,51.256281407035175
20,0.1,100,500,500,False,544.2886988999999,inf,1.244120692401117,35.175879396984925
20,0.1,100,750,750,False,994.7745236999999,inf,0.9439390737412545,48.24120603015075
20,0.1,100,1000,1000,False,1628.9882515000008,inf,0.754681932747408,51.75879396984925
20,0.1,100,1500,1500,False,2083.661456599999,inf,0.4221333425031499,63.81909547738693
20,0.1,100,2000,2000,False,2207.8947916999987,inf,0.2640651965664818,69.84924623115577
20,0.1,100,2500,2500,False,3309.600144600001,inf,0.5082102542471212,60.30150753768844
20,0.1,100,3000,3000,False,4204.753958199999,inf,0.704762988701477,54.773869346733676
20,0.1,100,3500,3500,False,4393.9277411,inf,0.5071483742201093,63.81909547738693
20,0.1,100,4000,4000,False,4391.224991099996,inf,0.5463357532747237,61.30653266331658
20,0.1,100,4500,4500,False,4935.824273999999,inf,1.3882461759113176,30.65326633165829
20,0.1,100,5000,5000,False,5414.088406900002,inf,0.8000728955068277,53.266331658291456
