epoca,erro_medio
1,2.35576809
2,1.95751965
3,1.93472786
4,1.92767555
5,1.92344221
6,1.91220803
7,1.91602510
8,1.92427253
9,1.92258537
10,1.92336205
11,1.89908199
12,1.86847392
13,1.87027589
14,1.85212939
15,1.83856977
16,1.82524301
17,1.80238212
18,1.75491688
19,1.78526898
20,1.78620752
21,1.79306824
22,1.79782586
23,1.78912196
24,1.78474274
25,1.78074346
26,1.74926323
27,1.77645106
28,1.74856393
29,1.75486020
30,1.75849802
31,1.75523346
32,1.78585647
33,1.77785599
34,1.77838919
35,1.78115616
36,1.76529934
37,1.73279552
38,1.72532986
39,1.69857208
40,1.71356872
41,1.70606796
42,1.72730496
43,1.69707965
44,1.67156886
45,1.65798976
46,1.67245870
47,1.65251671
48,1.67328775
49,1.67813032
50,1.65424949
51,1.67219634
52,1.63045972
53,1.62543074
54,1.59375733
55,1.62286119
56,1.66280683
57,1.64158572
58,1.64613777
59,1.58755645
60,1.56056026
61,1.59820634
62,1.59090967
63,1.57912457
64,1.52922531
65,1.53631676
66,1.54839837
67,1.52857171
68,1.52316272
69,1.48578384
70,1.53471288
71,1.54426310
72,1.53264330
73,1.59832039
74,1.59803950
75,1.62841918
76,1.65419678
77,1.63251370
78,1.59246141
79,1.62253035
80,1.61097514
81,1.60883155
82,1.57671845
83,1.57387070
84,1.65035724
85,1.62631057
86,1.63063254
87,1.63564715
88,1.63705601
89,1.60853377
90,1.60938183
91,1.60004453
92,1.61627548
93,1.58273603
94,1.57176394
95,1.61475836
96,1.58718062
97,1.57978735
98,1.59504872
99,1.54615810
100,1.53228577
101,1.52089711
102,1.54267430
103,1.54741443
104,1.55193278
105,1.50893571
106,1.54308365
107,1.57804946
108,1.54588099
109,1.55261811
110,1.56704233
111,1.55403593
112,1.57488212
113,1.57424121
114,1.58758171
115,1.55704122
116,1.56012253
117,1.58515271
118,1.59053032
119,1.59160696
120,1.57907663
121,1.62077110
122,1.55910297
123,1.55726697
124,1.60206903
125,1.62162470
126,1.59835946
127,1.58132281
128,1.57325877
129,1.52845853
130,1.58130548
131,1.55610440
132,1.54627362
133,1.53557048
134,1.54321929
135,1.54629796
136,1.52359582
137,1.49585444
138,1.48167587
139,1.52458500
140,1.53036210
141,1.57874369
142,1.55290008
143,1.54315577
144,1.53663009
145,1.51355224
146,1.51818057
147,1.50274024
148,1.48184672
149,1.48584052
150,1.52749255
151,1.53343429
152,1.49360335
153,1.48391881
154,1.47123500
155,1.48428526
156,1.51510720
157,1.51675533
158,1.53698864
159,1.51115328
160,1.49598658
161,1.51582375
162,1.46647411
163,1.47351123
164,1.48521361
165,1.48059781
166,1.48469315
167,1.46872257
168,1.45796942
169,1.46989144
170,1.47446152
171,1.45410516
172,1.44997751
173,1.44353485
174,1.44519746
175,1.44162538
176,1.45268620
177,1.44024409
178,1.43995622
179,1.43952949
180,1.43945363
181,1.43745683
182,1.43583492
183,1.43509339
184,1.43471818
185,1.43425903
186,1.43376831
187,1.43330701
188,1.45308486
189,1.44818658
190,1.44103543
191,1.43964104
192,1.43903571
193,1.43883691
194,1.43958851
195,1.43900869
196,1.43926557
197,1.43885315
198,1.43952153
199,1.43900268
200,1.43912884
201,1.43879338
202,1.43944636
203,1.43895742
204,1.43879711
205,1.44565402
206,1.43333069
207,1.43386052
208,1.42873201
209,1.42842803
210,1.42825748
211,1.42854704
212,1.42857940
213,1.42818824
214,1.42855691
215,1.42838631
216,1.42816800
217,1.42875704
218,1.42831208
219,1.42826523
220,1.42815700
221,1.42820929
222,1.42843152
223,1.42814828
224,1.42846537
225,1.42830118
226,1.42890853
227,1.42664031
228,1.42617115
229,1.42607445
230,1.42624430
231,1.42590203
232,1.42725677
233,1.42579677
234,1.42630685
235,1.42432049
236,1.42418851
237,1.42472822
238,1.42412961
239,1.42407247
240,1.42395495
241,1.42212986
242,1.42186547
243,1.42215748
244,1.42218056
245,1.42175381
246,1.42261947
247,1.42194905
248,1.42229840
249,1.42198722
250,1.42179448
251,1.42230682
252,1.42210760
253,1.42255389
254,1.42201295
255,1.42190821
256,1.42215287
257,1.42173764
258,1.42236689
259,1.42193338
260,1.42191166
261,1.42185082
262,1.42198038
263,1.42181986
264,1.42268189
265,1.42194722
266,1.42216742
267,1.42176168
268,1.42201514
269,1.42212947
